Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
Santa Cruz,Santa Cruz,36.9743850,-122.0352679,669112,Santa Cruz,Santa Cruz County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,66
National City,National City,32.6658617,-117.0973610,650398,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,62
Dunsmuir,Dunsmuir,41.2314848,-122.2709163,620242,Siskiyou,Siskiyou County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,1
Coachella,Coachella,33.6905455,-116.1430540,614260,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,45
Imperial,Imperial,32.8375033,-115.5718599,636280,Imperial,Imperial County,City,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Retail (storefront): Limit 1 licensee,,2022-01-22,No,No,,,19
Lindsay,Lindsay,36.2082160,-119.0896803,641712,Tulare,Tulare County,City,Allowed,Limited,Allowed,Allowed,Limited,Allowed,"Retail (Non-storefront): Delivery from storefront only
Cultivation: Indoor only",Micro: Silent,2022-01-22,No,No,,,13
Morro Bay,Morro Bay,35.3672891,-120.8692045,649362,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,10
Imperial Beach,Imperial Beach,32.5653537,-117.1145672,636294,San Diego,San Diego County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,28
San Juan Bautista,San Juan Bautista,36.8456736,-121.5377770,668014,San Benito,San Benito County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,1
Sonora,Sonora,37.9816919,-120.3826626,672674,Tuolumne,Tuolumne County,City,Limited,Limited,Prohibited,Allowed,Prohibited,Allowed,"Retail (Storefront): Limit 3
Retail (Non-storefront): Delivery from storefront only",,2022-01-22,No,No,,,4
Unincorporated Santa Barbara County,,,,,Santa Barbara,Santa Barbara County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,453,
Ukiah,Ukiah,39.1466140,-123.2103259,681134,Mendocino,Mendocino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,16
Goleta,Goleta,34.4348747,-119.8577412,630378,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,31
Waterford,Waterford,37.6426846,-120.7541520,683612,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,9
Petaluma,Petaluma,38.2422531,-122.6286306,656784,Sonoma,Sonoma County,City,Prohibited,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,62
Montebello,Montebello,34.0154437,-118.1110124,648816,Los Angeles,Los Angeles County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,64
